name,value,parent
Plant/tree-based<br />natural fibres<br />$118821,118821,raw materials
Mineral-based<br />$74993,74993,raw materials
Dedicated crops<br />$22711,22711,other natural fibres
Agricultural prodcuts<br />$21693,21693,other natural fibres
Animal-based<br />$18026,18026,other natural fibres
Mineral-based<br />$59240,59240,products
Plant/tree-based<br />natural fibres<br />$38449,38449,products
